Altium Designer Pick and Place Locations
C:\Users\user\Documents\LTDYOB\28_Pins_Project_V1I2\Project Outputs for 28_Pins_Project_V1I2\Pick Place\Pick Place for 28_Pins_Project_V1I2(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       12/10/21
Time:       14:24
Revision:   64098a031442a2e9d1d3bdcca113753c2e12c8c8
Variant:    5V/3V3
Units used: mm

Designator    Comment                  Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
C14           100n                     TopLayer C0805                            3.1000       52.2000      180      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C13           "10uF / 16V"             TopLayer C0805                            21.1000      11.7000      90       "CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes" 
C12           "10uF / 16V"             TopLayer C0805                            11.6000      12.4000      270      "CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes" 
C11           100n                     TopLayer C0805                            63.6000      46.3000      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C10           18p                      TopLayer C0805                            25.3000      24.0000      180      "CAP CER 18PF 50V C0G/NP0 0805"                                                                                                                                                                                                                           
C9            18p                      TopLayer C0805                            25.2000      34.5000      180      "CAP CER 18PF 50V C0G/NP0 0805"                                                                                                                                                                                                                           
C8            100n                     TopLayer C0805                            2.3000       44.1750      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C7            "1uF / 25 V"             TopLayer C0805                            13.7000      23.5000      180      "TDK - C2012X5R1E105K125AA - SMD Multilayer Ceramic Capacitor, 1 µF, 25 V, 0805 [2012 Metric], ± 10%, X5R, C Series"                                                                                                                                      
C6            "100u / 10 V"            TopLayer C_ALU_C_SIZE                     7.2000       4.1000       90       "CAP ALUM 100UF 20% 10V SMD"                                                                                                                                                                                                                              
C5            "100u / 10 V"            TopLayer C_ALU_C_SIZE                     7.4000       12.0000      90       "CAP ALUM 100UF 20% 10V SMD"                                                                                                                                                                                                                              
C4            100n                     TopLayer C0805                            17.7000      22.9000      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C3            100n                     TopLayer C0805                            22.2000      31.4000      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C2            100n                     TopLayer C0805                            20.0000      22.9000      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C1            "10uF / 16V"             TopLayer C0805                            22.3000      22.9000      90       "CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes" 
C26           100n                     TopLayer C0805                            21.4000      43.3000      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C18           "10uF / 16V"             TopLayer C0805                            58.7750      33.0000      180      "CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes" 
C17           100n                     TopLayer C0805                            35.5000      5.7000       270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C16           100n                     TopLayer C0805                            30.4000      5.7000       270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C15           100n                     TopLayer C0805                            39.4000      5.0000       180      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
